"","Fecha","Cluster","Freq"
"3",2017-02-17,"6",18
"4",2017-02-18,"6",15
"5",2017-02-19,"6",13
"51",2017-02-20,"6",11
"52",2017-02-21,"6",11
"53",2017-02-22,"6",12
"54",2017-02-23,"6",14
"55",2017-02-24,"6",13
"41",2017-02-25,"6",12
"56",2017-02-26,"6",11
"57",2017-02-27,"6",10
"42",2017-02-28,"6",10
"43",2017-03-01,"6",10
"44",2017-03-02,"6",10
"2",2017-03-03,"6",10
"31",2017-03-04,"6",9
"21",2017-03-05,"4",9
"22",2017-03-06,"4",10
"23",2017-03-07,"4",12
"45",2017-03-08,"7",15
"46",2017-03-09,"7",12
"47",2017-03-10,"7",17
"48",2017-03-11,"7",13
"1",2017-03-12,"3",9
"24",2017-03-13,"4",10
"25",2017-03-14,"4",13
"26",2017-03-15,"4",13
"27",2017-03-16,"4",17
"11",2017-03-17,"4",17
"28",2017-03-18,"4",14
"29",2017-03-19,"4",16
"210",2017-03-20,"4",16
"12",2017-03-21,"4",16
"13",2017-03-22,"4",19
"211",2017-03-23,"4",16
"14",2017-03-24,"4",21
"212",2017-03-25,"4",21
"15",2017-03-26,"4",16
"16",2017-03-27,"4",16
"213",2017-03-28,"4",18
"214",2017-03-29,"4",20
"215",2017-03-30,"4",20
"32",2017-03-31,"4",22
"216",2017-04-01,"4",16
"217",2017-04-02,"4",16
"218",2017-04-03,"4",18
"219",2017-04-04,"4",17
"220",2017-04-05,"4",15
"221",2017-04-06,"4",14
"222",2017-04-07,"4",17
"223",2017-04-08,"4",17
"224",2017-04-09,"4",17
"225",2017-04-10,"4",17
"226",2017-04-11,"4",20
"227",2017-04-12,"4",23
"228",2017-04-13,"4",24
"229",2017-04-14,"4",25
"230",2017-04-15,"4",24
"231",2017-04-16,"4",25
